Id,PostTypeId,Score,AcceptedAnswerId
1297,2,2,NULL
1300,1,19,1673
1303,2,3,NULL
1304,1,158,1309
1305,2,21,NULL
1306,1,33,1318
1309,2,94,NULL
1311,1,4,1367
1312,2,4,NULL
1313,1,29,74033
1314,1,7,1319
1317,2,3,NULL
1318,2,18,NULL
1319,2,4,NULL
1320,2,4,NULL
1321,2,1,NULL
1322,2,1,NULL
1323,1,10,NULL
1325,2,3,NULL
1328,2,2,NULL
1329,1,38,1339
1331,2,56,NULL
1332,2,354,NULL
1333,2,2,NULL
1334,2,15,NULL
1335,2,3,NULL
1336,2,0,NULL
1337,2,7,NULL
1338,2,102,NULL
1339,2,20,NULL
1340,2,0,NULL
1341,2,6,NULL
1342,2,0,NULL
1347,2,0,NULL
1348,2,1,NULL
1351,2,2,NULL
1353,2,1,NULL
1356,2,8,NULL
1359,2,0,NULL
1364,2,2,NULL
1367,2,2,NULL
1375,2,1,NULL
1376,1,7,NULL
1378,2,3,NULL
1380,2,0,NULL
1381,2,3,NULL
1383,1,141,1393
1384,1,64,NULL
1387,1,10,NULL
1390,1,12,1394
1393,2,140,NULL
1394,2,14,NULL
1397,2,8,NULL
1398,2,47,NULL
1399,2,5,NULL
1401,1,13,1418
1404,2,821,NULL
1405,2,4,NULL
1408,1,145,1421
1409,1,7,27335
1413,2,6,NULL
1414,2,66,NULL
1415,2,2,NULL
1417,1,20,1425
1418,2,8,NULL
1420,2,1,NULL
1421,2,169,NULL
1425,2,18,NULL
1428,2,3,NULL
1430,2,5,NULL
1435,2,2,NULL
1436,2,1,NULL
1437,2,-1,NULL
1446,2,1,NULL
1447,2,1,NULL
1451,1,11,1477
1453,1,9,1456
1454,2,2,NULL
1456,2,4,NULL
1457,1,134,1468
1459,2,8,NULL
1462,2,45,NULL
1464,2,3,NULL
1465,2,9,NULL
1466,2,0,NULL
1468,2,105,NULL
1474,2,0,NULL
1476,1,188,13107
1477,2,9,NULL
1478,2,0,NULL
1479,2,0,NULL
1484,2,55,NULL
1488,2,1,NULL
1490,2,34,NULL
1495,2,3,NULL
1496,1,24,1517
1503,1,11,1514
1504,2,3,NULL
1505,1,16,3507075
1506,2,5,NULL
1508,1,5,1525
1509,2,8,NULL
1514,2,9,NULL
1515,2,1,NULL
1517,2,20,NULL
1522,2,1,NULL
1524,2,0,NULL
1525,2,1,NULL
1527,2,0,NULL
1528,1,26,1556
1533,2,15,NULL
1534,2,6,NULL
1535,1,20,2047
1536,2,12,NULL
1546,2,5,NULL
1550,2,0,NULL
1554,2,4,NULL
1556,2,28,NULL
1561,2,5,NULL
1576,1,101,1577
1577,2,126,NULL
1578,2,2,NULL
1579,2,2,NULL
1581,2,0,NULL
1582,2,2,NULL
1584,1,7,44389
1585,2,2,NULL
1586,2,6,NULL
1587,2,11,NULL
1588,2,3,NULL
1589,2,1,NULL
1590,2,2,NULL
1591,2,0,NULL
1594,2,1,NULL
1595,2,6,NULL
1596,2,40,NULL
1598,1,57,3490980
1599,2,0,NULL
1600,1,12,1793
1601,2,4,NULL
1602,2,13,NULL
1606,2,0,NULL
1607,1,95,1666
1608,2,1,NULL
1609,2,3,NULL
1610,1,41,1621
1611,2,2,NULL
1615,1,3,1628
1617,2,6,NULL
1619,2,13,NULL
1620,2,1,NULL
1621,2,41,NULL
1623,1,13,1667
1624,2,0,NULL
1625,1,19,1627
1627,2,5,NULL
1628,2,4,NULL
1640,2,3,NULL
1644,1,529,NULL
1646,2,3,NULL
1647,2,1,NULL
1649,2,10,NULL
1651,2,7,NULL
1653,2,3,NULL
1654,2,29,NULL
1655,2,2,NULL
1656,2,3,NULL
1657,2,4,NULL
1660,2,90,NULL
1661,2,19,NULL
1662,2,4,NULL
1665,2,5,NULL
1666,2,45,NULL
1667,2,14,NULL
1669,1,704,1672
1670,2,3,NULL
1672,2,744,NULL
1673,2,12,NULL
1678,2,17,NULL
1679,1,3,1704
1683,1,8,3020
1684,2,0,NULL
1686,2,39,NULL
1687,2,0,NULL
1688,2,0,NULL
1693,2,20,NULL
1703,2,10,NULL
1704,2,2,NULL
1709,1,9,1724
1711,1,1440,NULL
1713,2,1749,NULL
1716,2,1,NULL
1718,2,2,NULL
1721,2,4,NULL
1724,2,2,NULL
1733,2,4,NULL
1734,1,12,1780
1746,1,23,1749
1749,2,31,NULL
1752,2,7,NULL
1758,2,0,NULL
1760,1,44,1821
1762,1,3,1771
1764,2,0,NULL
1765,2,0,NULL
1771,2,26,NULL
1772,2,2,NULL
1773,2,9,NULL
1774,2,2,NULL
1776,2,0,NULL
1778,2,5,NULL
1780,2,7,NULL
1788,2,8,NULL
1789,2,3,NULL
1790,1,8,2017
1793,2,2,NULL
1794,2,2,NULL
1798,2,3,NULL
1803,2,6,NULL
1806,2,0,NULL
1812,2,10,NULL
1820,2,2,NULL
1821,2,46,NULL
1824,2,62,NULL
1826,2,9,NULL
1829,1,3,1852
1836,1,17,1843
1840,2,7,NULL
1843,2,17,NULL
1848,1,14,1856
1849,2,1,NULL
1852,2,5,NULL
1854,1,148,1857
1856,2,9,NULL
1857,2,202,NULL
1869,1,12,968319
1870,2,2,NULL
1871,2,73,NULL
1873,1,14,1886
1875,2,0,NULL
1879,2,56,NULL
1881,2,0,NULL
1885,2,0,NULL
1886,2,14,NULL
1889,2,0,NULL
1894,2,3,NULL
1898,1,69,1901
1901,2,40,NULL
1904,2,7,NULL
1905,2,2,NULL
1907,2,0,NULL
1908,1,10,1945
1909,2,1,NULL
1910,2,20,NULL
1911,2,15,NULL
1912,2,0,NULL
1914,2,13,NULL
1920,2,26,NULL
1926,2,0,NULL
1927,2,0,NULL
1928,2,4,NULL
1934,2,0,NULL
1936,1,85,1940
1940,2,64,NULL
1945,2,5,NULL
1948,2,25,NULL
1949,1,14,5310
1957,2,2,NULL
1970,1,5,59345
1971,2,2,NULL
1973,1,73,2700
1974,2,17,NULL
1980,2,2,NULL
1982,1,16,47086
1983,1,17,2277
1985,2,2,NULL
1986,2,0,NULL
1987,2,17,NULL
1988,1,31,63737
1992,2,2,NULL
1993,2,1,NULL
1994,1,5,2012
1995,1,6,2001
1996,2,1,NULL
1998,2,3,NULL
2001,2,6,NULL
2002,2,1,NULL
2003,2,17,NULL
2005,2,2,NULL
2006,2,1,NULL
2008,2,3,NULL
2009,2,5,NULL
2012,2,2,NULL
2013,2,0,NULL
2017,2,4,NULL
2019,2,1,NULL
2023,2,1,NULL
2025,2,9,NULL
2027,1,37,NULL
2028,2,30,NULL
2032,2,3,NULL
2033,2,4,NULL
2034,1,163,2036
2035,2,5,NULL
2036,2,302,NULL
2040,2,76,NULL
2041,1,358,2310
2042,2,419,NULL
2043,1,15,2044
2044,2,30,NULL
2046,1,28,7641
2047,2,11,NULL
2048,1,3,2080
2049,2,4,NULL
2050,2,0,NULL
2051,2,5,NULL
2054,2,1,NULL
2056,1,966,101561
2057,2,0,NULL
2058,2,1,NULL
2064,2,0,NULL
2065,2,1,NULL
2066,2,1,NULL
2067,2,6,NULL
2068,2,181,NULL
2069,2,15,NULL
2070,2,0,NULL
2073,2,2,NULL
2080,2,3,NULL
2086,2,28,NULL
2092,1,6,NULL
2096,2,2,NULL
2099,2,1,NULL
2114,2,1,NULL
2118,2,1,NULL
2120,1,56,2382
2122,2,0,NULL
2123,1,9,2223
2126,2,12,NULL
2132,2,-2,NULL
2133,2,34,NULL
2134,1,66,2183
2138,1,34,2147
2142,2,13,NULL
2146,2,1,NULL
2147,2,20,NULL
2148,2,8,NULL
2154,1,11,2335
2155,1,28,2928
2156,2,1,NULL
2158,1,46,2245
2177,2,0,NULL
2178,2,2,NULL
2179,2,4,NULL
2180,2,2,NULL
2181,2,3,NULL
2183,2,27,NULL
2184,2,-2,NULL
2189,2,1,NULL
2195,2,0,NULL
2196,1,1,2373
2197,2,9,NULL
2207,2,8,NULL
2209,1,5,2233
2210,2,7,NULL
2212,2,0,NULL
2213,2,1,NULL
2214,1,8,3443
2216,2,1,NULL
2219,2,8,NULL
2220,2,0,NULL
2222,1,5,8753
2223,2,9,NULL
2225,2,22,NULL
2228,2,2,NULL
2232,1,426,2400
2233,2,4,NULL
2245,2,58,NULL
2246,2,0,NULL
2250,1,53,2258
2254,2,4,NULL
2256,1,10,2490
2258,2,51,NULL
2262,1,23,2268
2264,2,1,NULL
2267,1,3,NULL
2268,2,23,NULL
2277,2,19,NULL
2279,1,6,2314
2280,2,7,NULL
2283,2,0,NULL
2284,1,17,2301
2287,2,0,NULL
2291,2,1,NULL
2292,2,0,NULL
2293,2,20,NULL
2294,2,1,NULL
2298,2,4,NULL
2300,1,7,2312
2301,2,14,NULL
2308,1,7,2320
2310,2,205,NULL
2311,1,13,2316
2312,2,3,NULL
2314,2,4,NULL
2316,2,11,NULL
2317,2,2,NULL
2320,2,3,NULL
2322,2,1,NULL
2324,2,2,NULL
2328,1,3,4910
2332,1,13,2333
2333,2,26,NULL
2334,2,4,NULL
2335,2,7,NULL
2342,2,1,NULL
2346,2,2,NULL
2348,1,18,2393
2349,1,6,2360
2350,2,123,NULL
2360,2,20,NULL
2361,2,2,NULL
2364,1,8,2390
2366,1,79,NULL
2369,2,6,NULL
2372,2,0,NULL
2373,2,1,NULL
2374,2,3,NULL
2376,2,-1,NULL
2377,2,0,NULL
2378,2,0,NULL
2379,2,0,NULL
2382,2,94,NULL
2384,1,29,NULL
2385,2,0,NULL
2388,2,1,NULL
2389,2,0,NULL
2390,2,7,NULL
2393,2,33,NULL
2400,2,614,NULL
2405,1,5,2444
2409,2,1,NULL
2421,2,35,NULL
2426,2,0,NULL
2432,1,8,2462
2434,2,0,NULL
2436,2,1,NULL
2440,2,1,NULL
2442,2,0,NULL
2444,2,4,NULL
2447,1,7,NULL
2452,2,-5,NULL
2460,2,1,NULL
2462,2,8,NULL
2468,2,0,NULL
2471,2,34,NULL
2472,1,10,2477
2474,2,1,NULL
2476,2,3,NULL
2477,2,11,NULL
2478,2,10,NULL
2479,2,4,NULL
2481,1,3,2511
2482,1,26,2513
2483,1,63,2487
2486,1,13,2514
2487,2,71,NULL
2488,1,148,2495
2489,2,1,NULL
2490,2,14,NULL
2491,2,5,NULL
2492,2,2,NULL
2494,2,3,NULL
2495,2,183,NULL
2496,2,1,NULL
2497,2,0,NULL
2498,2,0,NULL
2500,2,12,NULL
2504,2,3,NULL
2506,2,2,NULL
2509,1,79,2548
2510,2,0,NULL
2511,2,3,NULL
2513,2,12,NULL
2514,2,9,NULL
2515,2,1,NULL
2517,2,3,NULL
2518,1,2,10020
2520,2,2,NULL
2521,2,2,NULL
2522,2,25,NULL
2523,2,9,NULL
2524,1,16,151931
2525,1,122,8739
2527,1,45,2546
2528,2,19,NULL
2530,1,1014,2531
2531,2,1177,NULL
2535,2,4,NULL
2536,2,2,NULL
2537,2,62,NULL
2538,2,121,NULL
2540,1,34,2697
2541,2,19,NULL
2542,2,7,NULL
2543,1,10,2564
2544,2,2,NULL
2545,2,0,NULL
2546,2,64,NULL
2547,2,2,NULL
2548,2,65,NULL
2550,1,8,2560
2554,2,20,NULL
2555,2,2,NULL
2556,1,78,100758
2558,2,11,NULL
2560,2,15,NULL
2561,2,10,NULL
2562,2,5,NULL
2563,1,3,2801
2564,2,6,NULL
2565,2,1,NULL
2566,2,0,NULL
2569,2,1,NULL
2570,2,1,NULL
2571,2,4,NULL
2575,2,7,NULL
2576,2,10,NULL
2585,2,7,NULL
2588,1,9,1780172
2596,2,1,NULL
2598,2,2,NULL
2599,2,69,NULL
2601,2,3,NULL
2602,2,4,NULL
2603,2,1,NULL
2605,2,2,NULL
2608,2,2,NULL
2609,2,2,NULL
2614,2,3,NULL
2619,2,2,NULL
2620,2,1,NULL
2629,2,-1,NULL
2630,1,8,64636
2639,1,8,2712
2643,2,2,NULL
2647,1,258,2657
2649,1,7,2653
2652,2,9,NULL
2653,2,16,NULL
2657,2,103,NULL
2658,1,61,2668
2662,2,1,NULL
2665,2,18,NULL
2667,2,10,NULL
2668,2,77,NULL
2669,2,1,NULL
2670,2,0,NULL
2671,2,0,NULL
2672,2,16,NULL
2673,2,0,NULL
2675,2,3,NULL
2676,2,8,NULL
2677,2,18,NULL
2678,2,0,NULL
2681,2,4,NULL
2682,2,0,NULL
2685,2,212,NULL
2687,2,3,NULL
2688,1,9,2741
2690,2,0,NULL
2691,2,2,NULL
2693,2,0,NULL
2695,2,2,NULL
2696,2,-1,NULL
2697,2,32,NULL
2699,2,0,NULL
2700,2,19,NULL
2701,2,1,NULL
2702,1,11,2736
2703,2,88,NULL
2704,2,0,NULL
2705,2,-1,NULL
2706,2,0,NULL
2707,2,1,NULL
2708,2,3,NULL
2709,1,2,NULL
2711,1,6,2763
2712,2,10,NULL
2713,2,1,NULL
2714,1,6,2715
2715,2,11,NULL
2716,2,0,NULL
2720,2,2,NULL
2721,2,0,NULL
2723,2,4,NULL
2724,2,1,NULL
2727,2,0,NULL
2731,2,0,NULL
2732,1,10,11668996
2734,2,1,NULL
2736,2,12,NULL
2737,2,0,NULL
2741,2,6,NULL
2742,1,40,NULL
2750,1,4,2761
2752,2,0,NULL
2753,2,2,NULL
2754,2,1,NULL
2755,2,9,NULL
2756,1,10,2762
2757,2,3,NULL
2760,2,3,NULL
2761,2,11,NULL
2762,2,18,NULL
2763,2,3,NULL
2764,2,3,NULL
2765,1,4,2774
2767,1,143,75338
2768,2,1,NULL
2769,2,4,NULL
2770,1,21,2779
2771,2,75,NULL
2772,2,6,NULL
2773,1,0,2883
2774,2,13,NULL
2775,1,52,3696991
2776,2,11,NULL
2777,2,5,NULL
2778,1,1,2805
2779,2,18,NULL
2780,1,10,2789
2781,2,10,NULL
2783,2,19,NULL
2784,2,1,NULL
2785,1,101,2839
2786,1,26,2944
2787,2,0,NULL
2789,2,12,NULL
2790,2,5,NULL
2791,2,28,NULL
2794,2,-1,NULL
2797,2,8,NULL
2798,1,13,2803
2799,2,30,NULL
2800,2,43,NULL
2801,2,2,NULL
2803,2,11,NULL
2804,1,7,2808
2805,2,7,NULL
2806,2,16,NULL
2807,2,1,NULL
2808,2,1,NULL
2809,1,2,2842
2810,2,0,NULL
2811,1,3,2825
2813,2,5,NULL
2815,1,9,2819
2817,2,7,NULL
2818,2,3,NULL
2819,2,7,NULL
2821,2,1,NULL
2822,2,2,NULL
2823,2,9,NULL
2825,2,1,NULL
2826,1,125,13373
2831,2,4,NULL
2832,2,0,NULL
2834,2,0,NULL
2835,2,12,NULL
2836,2,2,NULL
2839,2,39,NULL
2840,1,30,2843
2841,2,7,NULL
2842,2,3,NULL
2843,2,31,NULL
2844,1,144,NULL
2845,2,2,NULL
2850,2,189,NULL
2851,2,3,NULL
2854,2,0,NULL
2855,2,0,NULL
2861,1,295,2866
2862,2,9,NULL
2865,2,6,NULL
2866,2,45,NULL
2867,2,2,NULL
2871,1,38,2887
2872,1,9,2901
2873,1,29,2927
2874,1,15,NULL
2877,2,14,NULL
2878,2,2,NULL
2880,2,9,NULL
2881,2,0,NULL
2882,2,0,NULL
2883,2,4,NULL
2884,2,3,NULL
2886,2,2,NULL
2887,2,56,NULL
2888,2,0,NULL
2890,2,1,NULL
2892,2,4,NULL
2895,2,1,NULL
2897,2,5,NULL
2898,1,32,2905
2900,1,5,2975
2901,2,10,NULL
2903,2,2,NULL
2905,2,33,NULL
2908,2,0,NULL
2910,2,3,NULL
2911,2,0,NULL
2913,1,6,2918
2914,1,25,2917
2915,2,0,NULL
2917,2,29,NULL
2918,2,4,NULL
2919,2,1,NULL
2920,2,6,NULL
2923,2,1,NULL
2924,2,2,NULL
2927,2,17,NULL
2928,2,45,NULL
2930,2,-1,NULL
2931,1,10,NULL
2933,1,133,2937
2937,2,157,NULL
2938,2,10,NULL
2940,2,1,NULL
2941,2,1,NULL
2942,1,14,3011
2943,2,0,NULL
2944,2,15,NULL
2946,1,3,NULL
2947,2,4,NULL
2950,2,2,NULL
2952,2,1,NULL
2959,1,4,NULL
2961,2,1,NULL
2962,2,0,NULL
2965,2,11,NULL
2967,2,26,NULL
2968,1,19,2985
2969,2,16,NULL
2970,1,16,2976
2971,2,0,NULL
2973,2,3,NULL
2975,2,5,NULL
2976,2,13,NULL
2977,2,5,NULL
2978,2,2,NULL
2979,2,6,NULL
2980,2,2,NULL
2982,2,403,NULL
2984,2,4,NULL
2985,2,4,NULL
2986,2,1,NULL
2987,1,23,2992
2988,1,4,2999
2992,2,11,NULL
2993,1,8,3012
2996,2,1,NULL
2999,2,15,NULL
3003,2,2,NULL
3004,1,2,3008
3008,2,3,NULL
3009,2,8,NULL
3010,2,6,NULL
3011,2,12,NULL
3012,2,6,NULL
3013,2,1,NULL
3017,1,93,3029
3019,2,0,NULL
3020,2,8,NULL
3021,1,64,NULL
3023,2,21,NULL
3025,2,5,NULL
3026,2,6,NULL
3027,1,9,NULL
3028,2,0,NULL
3029,2,142,NULL
3030,2,6,NULL
3032,2,33,NULL
3033,1,36,3360
3035,2,17,NULL
3037,2,0,NULL
3040,2,6,NULL
3042,2,4,NULL
3043,2,3,NULL
3044,2,0,NULL
3045,1,2,3053
3049,1,19,3054
3050,2,1,NULL
3052,2,4,NULL
